"","rt","int"
"311",2.5931795177136,-2396
"312",2.60151235486752,-2374
"313",2.60984519202143,-2350
"314",2.61817802917535,-2350
"315",2.62651086632926,-2317
"316",2.63484370348318,-2370
"317",2.64317654063709,-2444
"318",2.65150937779101,-2456
"319",2.65984221494492,-2446
"320",2.66817505209884,-2448
"321",2.67650788925275,-2467
"322",2.68484072640667,-2456
"323",2.69317356356058,-2513
"324",2.7015064007145,-2541
"325",2.70983923786841,-2484
"326",2.71817207502233,-2494
"327",2.72650491217624,-2545
"328",2.73483774933016,-2604
"329",2.74317058648407,-2692
"330",2.75150342363799,-2804
"331",2.7598362607919,-2825
"332",2.76816909794582,-2855
"333",2.77650193509973,-2872
"334",2.78483477225365,-2825
"335",2.79316760940756,-2847
"336",2.80150044656148,-2949
"337",2.80983328371539,-3088
"338",2.81816612086931,-3210
"339",2.82649895802322,-3248
"340",2.83483179517714,-3233
"341",2.84316463233105,-3200
"342",2.85149746948497,-3168
"343",2.85983030663888,-3121
"344",2.8681631437928,-3137
"345",2.87649598094671,-3167
"346",2.88482881810063,-3237
"347",2.89316165525454,-3275
"348",2.90149449240845,-3264
"349",2.90982732956237,-3318
"350",2.91816016671628,-3315
"351",2.9264930038702,-3357
"352",2.93482584102411,-3371
"353",2.94315867817803,-3353
"354",2.95149151533194,-3412
"355",2.95982435248586,-3421
"356",2.96815718963977,-3375
"357",2.97649002679369,-3349
"358",2.9848228639476,-3271
"359",2.99315570110152,-3172
"360",3.00148853825543,-3089
"361",3.00982137540935,-3062
"362",3.01815421256326,-3015
"363",3.02648704971718,-3016
"364",3.03481988687109,-3119
"365",3.04315272402501,-3193
"366",3.05148556117892,-3305
"367",3.05981839833284,-3385
"368",3.06815123548675,-3415
"369",3.07648407264067,-3405
"370",3.08481690979458,-3444
"371",3.0931497469485,-3453
"372",3.10148258410241,-3475
"373",3.10981542125633,-3475
"374",3.11814825841024,-3461
"375",3.12648109556416,-3411
"376",3.13481393271807,-3408
"377",3.14314676987199,-3365
"378",3.1514796070259,-3368
"379",3.15981244417982,-3359
"380",3.16814528133373,-3288
"381",3.17647811848764,-3225
"382",3.18481095564156,-3276
"383",3.19314379279547,-3342
"384",3.20147662994939,-3350
"385",3.2098094671033,-3318
"386",3.21814230425722,-3268
"387",3.22647514141113,-3186
"388",3.23480797856505,-3066
"389",3.24314081571896,-2915
"390",3.25147365287288,-2800
"391",3.25980649002679,-2672
"392",3.26813932718071,-2620
"393",3.27647216433462,-2594
"394",3.28480500148854,-2540
"395",3.29313783864245,-2500
"396",3.30147067579637,-2563
"397",3.30980351295028,-2709
"398",3.3181363501042,-2700
"399",3.32646918725811,-2675
"400",3.33480202441203,-2625
"401",3.34313486156594,-2603
"402",3.35146769871986,-2497
"403",3.35980053587377,-2436
"404",3.36813337302769,-2439
"405",3.3764662101816,-2409
"406",3.38479904733552,-2334
"407",3.39313188448943,-2277
"408",3.40146472164335,-2299
"409",3.40979755879726,-2406
"410",3.41813039595118,-2471
"411",3.42646323310509,-2491
"412",3.43479607025901,-2535
"413",3.44312890741292,-2491
"414",3.45146174456684,-2427
"415",3.45979458172075,-2434
"416",3.46812741887467,-2376
"417",3.47646025602858,-2270
"418",3.48479309318249,-2152
"419",3.49312593033641,-2034
"420",3.50145876749032,-1899
"421",3.50979160464424,-1773
"422",3.51812444179815,-1784
"423",3.52645727895207,-1800
"424",3.53479011610598,-1800
"425",3.5431229532599,-1766
"426",3.55145579041381,-1747
"427",3.55978862756773,-1777
"428",3.56812146472164,-1819
"429",3.57645430187556,-1871
"430",3.58478713902947,-1863
"431",3.59311997618339,-1779
"432",3.6014528133373,-1700
"433",3.60978565049122,-1615
"434",3.61811848764513,-1500
"435",3.62645132479905,-1439
"436",3.63478416195296,-1421
"437",3.64311699910688,-1360
"438",3.65144983626079,-1279
"439",3.65978267341471,-1252
"440",3.66811551056862,-1275
"441",3.67644834772254,-1250
"442",3.68478118487645,-1250
"443",3.69311402203037,-1292
"444",3.70144685918428,-1347
"445",3.7097796963382,-1294
"446",3.71811253349211,-1159
"447",3.72644537064603,-1058
"448",3.73477820779994,-930
"449",3.74311104495386,-839
"450",3.75144388210777,-762
"451",3.75977671926168,-735
"452",3.7681095564156,-739
"453",3.77644239356951,-759
"454",3.78477523072343,-792
"455",3.79310806787734,-749
"456",3.80144090503126,-691
"457",3.80977374218517,-608
"458",3.81810657933909,-553
"459",3.826439416493,-441
"460",3.83477225364692,-350
"461",3.84310509080083,-320
"462",3.85143792795475,-316
"463",3.85977076510866,-300
"464",3.86810360226258,-258
"465",3.87643643941649,-168
"466",3.88476927657041,-74
"467",3.89310211372432,58
"468",3.90143495087824,241
"469",3.90976778803215,375
"470",3.91810062518607,400
"471",3.92643346233998,407
"472",3.9347662994939,436
"473",3.94309913664781,495
"474",3.95143197380173,608
"475",3.95976481095564,646
"476",3.96809764810956,573
"477",3.97643048526347,512
"478",3.98476332241739,451
"479",3.9930961595713,401
"480",4.00142899672522,428
"481",4.00976183387913,469
"482",4.01809467103305,486
"483",4.02642750818696,416
"484",4.03476034534088,309
"485",4.04309318249479,220
"486",4.05142601964871,159
"487",4.05975885680262,154
"488",4.06809169395653,216
"489",4.07642453111045,272
"490",4.08475736826436,348
"491",4.09309020541828,400
"492",4.10142304257219,395
"493",4.10975587972611,366
"494",4.11808871688002,379
"495",4.12642155403394,455
"496",4.13475439118785,563
"497",4.14308722834177,614
"498",4.15142006549568,587
"499",4.1597529026496,649
"500",4.16808573980351,751
"501",4.17641857695743,864
"502",4.18475141411134,919
"503",4.19308425126526,896
"504",4.20141708841917,841
"505",4.20974992557309,800
"506",4.218082762727,842
"507",4.22641559988092,875
"508",4.23474843703483,862
"509",4.24308127418875,855
"510",4.25141411134266,877
"511",4.25974694849658,964
"512",4.26807978565049,1084
"513",4.27641262280441,1257
"514",4.28474545995832,1371
"515",4.29307829711224,1430
"516",4.30141113426615,1514
"517",4.30974397142007,1616
"518",4.31807680857398,1725
"519",4.3264096457279,1890
"520",4.33474248288181,2060
"521",4.34307532003572,2142
"522",4.35140815718964,2150
"523",4.35974099434355,2172
"524",4.36807383149747,2247
"525",4.37640666865138,2357
"526",4.3847395058053,2460
"527",4.39307234295921,2547
"528",4.40140518011313,2623
"529",4.40973801726704,2701
"530",4.41807085442096,2820
"531",4.42640369157487,2947
"532",4.43473652872879,3025
"533",4.4430693658827,3075
"534",4.45140220303662,3163
"535",4.45973504019053,3244
"536",4.46806787734445,3293
"537",4.47640071449836,3344
"538",4.48473355165228,3338
"539",4.49306638880619,3307
"540",4.50139922596011,3340
"541",4.50973206311402,3477
